week,order_counterbalance,alien_counterbalance,set_counterbalance,tr_num,link_tr_num,block_tr_num,block,condition,teaching_block,name,alien,target,top_left,top_right,bot_center,correct_response
2,2,1,1,67,1,1,1,high,1,wilp,E3,L,E3,C31,J3,0
2,2,1,1,68,2,2,1,high,2,pyzer,J3,C,C31,J3,E3,2
2,2,1,1,69,3,3,1,low,2,gazzer,B2,L,B2,A1,G3,0
2,2,1,1,70,4,4,1,high,1,juss,C31,R,J3,E3,C31,1
2,2,1,1,71,5,5,1,low,2,modi,A1,R,G3,B2,A1,1
2,2,1,1,72,6,6,1,low,1,chev,G3,C,A1,G3,B2,2
2,2,1,1,73,7,1,2,high,1,juss,C31,L,C31,J3,E3,0
2,2,1,1,74,8,2,2,high,2,pyzer,J3,R,E3,C31,J3,1
2,2,1,1,75,9,3,2,low,2,gazzer,B2,C,G3,B2,A1,2
2,2,1,1,76,10,4,2,high,1,wilp,E3,C,J3,E3,C31,2
2,2,1,1,77,11,5,2,low,2,modi,A1,L,A1,G3,B2,0
2,2,1,1,78,12,6,2,low,1,chev,G3,R,B2,A1,G3,1
1,2,1,2,67,1,1,1,low,2,sarl,A33,R,B23,A33,J2,1
1,2,1,2,68,2,2,1,high,1,darg,E1,R,A3,E1,I1,1
1,2,1,2,69,3,3,1,low,1,foob,B23,C,A33,J2,B23,2
1,2,1,2,70,4,4,1,high,2,koba,I1,L,I1,A3,E1,0
1,2,1,2,71,5,5,1,high,2,heab,A3,C,E1,I1,A3,2
1,2,1,2,72,6,6,1,low,1,kulp,J2,L,J2,B23,A33,0
1,2,1,2,73,7,1,2,high,1,darg,E1,L,E1,I1,A3,0
1,2,1,2,74,8,2,2,low,2,sarl,A33,L,A33,J2,B23,0
1,2,1,2,75,9,3,2,high,2,koba,I1,C,A3,E1,I1,2
1,2,1,2,76,10,4,2,low,1,foob,B23,R,J2,B23,A33,1
1,2,1,2,77,11,5,2,low,1,kulp,J2,C,B23,A33,J2,2
1,2,1,2,78,12,6,2,high,2,heab,A3,R,I1,A3,E1,1
