week,order,alien,set,tr_num,link_tr_num,condition,block,rep,name,alien,target,top_left,top_right,bot_center,correct_response
2,2,2,1,67,1,high,1,1,wilp,A1,L,A1,B2,G3,0
2,2,2,1,68,2,high,2,1,pyzer,G3,C,B2,G3,A1,2
2,2,2,1,69,3,low,2,1,gazzer,C31,L,C31,E3,J3,0
2,2,2,1,70,4,high,1,1,juss,B2,R,G3,A1,B2,1
2,2,2,1,71,5,low,2,1,modi,E3,R,J3,C31,E3,1
2,2,2,1,72,6,low,1,1,chev,J3,C,E3,J3,C31,2
2,2,2,1,73,7,high,1,2,juss,B2,L,B2,G3,A1,0
2,2,2,1,74,8,high,2,2,pyzer,G3,R,A1,B2,G3,1
2,2,2,1,75,9,low,2,2,gazzer,C31,C,J3,C31,E3,2
2,2,2,1,76,10,high,1,2,wilp,A1,C,G3,A1,B2,2
2,2,2,1,77,11,low,2,2,modi,E3,L,E3,J3,C31,0
2,2,2,1,78,12,low,1,2,chev,J3,R,C31,E3,J3,1
1,2,2,2,67,1,low,2,1,sarl,E1,R,A3,E1,I1,1
1,2,2,2,68,2,high,1,1,darg,A33,R,B23,A33,J2,1
1,2,2,2,69,3,low,1,1,foob,A3,C,E1,I1,A3,2
1,2,2,2,70,4,high,2,1,koba,J2,L,J2,B23,A33,0
1,2,2,2,71,5,high,2,1,heab,B23,C,A33,J2,B23,2
1,2,2,2,72,6,low,1,1,kulp,I1,L,I1,A3,E1,0
1,2,2,2,73,7,high,1,2,darg,A33,L,A33,J2,B23,0
1,2,2,2,74,8,low,2,2,sarl,E1,L,E1,I1,A3,0
1,2,2,2,75,9,high,2,2,koba,J2,C,B23,A33,J2,2
1,2,2,2,76,10,low,1,2,foob,A3,R,I1,A3,E1,1
1,2,2,2,77,11,low,1,2,kulp,I1,C,A3,E1,I1,2
1,2,2,2,78,12,high,2,2,heab,B23,R,J2,B23,A33,1
