order,block,raw,rand,tr_num,block_tr_num,condition,word,target_loc,sound1,sound2,sound3,correct_response
1A,1,1,114,1,1,high,fidge,L,fidge,sidge,kidge,0
1A,1,2,954,8,8,high,cuth,R,cun,cush,cuth,2
1A,1,3,228,2,2,high,meeb,C,neeb,meeb,keeb,1
1A,1,4,325,5,5,high,soog,L,soog,soove,soob,0
1A,1,5,324,4,4,low,wath,R,wat,wash,wath,2
1A,1,6,232,3,3,low,vib,C,zib,vib,gib,1
1A,1,7,466,6,6,low,nez,L,nez,kez,mez,0
1A,1,8,885,7,7,low,chouse,R,chowf,chowp,chouse,2
1A,2,9,933,16,8,high,fidge,C,kidge,fidge,sidge,1
1A,2,10,60,10,2,high,cuth,L,cuth,cush,cun,0
1A,2,11,571,13,5,high,meeb,R,keeb,neeb,meeb,2
1A,2,12,853,15,7,high,soog,C,soob,soog,soove,1
1A,2,13,51,9,1,low,wath,L,wath,wash,wat,0
1A,2,14,130,11,3,low,vib,R,gib,zib,vib,2
1A,2,15,541,12,4,low,nez,C,mez,nez,kez,1
1A,2,16,844,14,6,low,chouse,L,chouse,chowp,chowf,0
