week,order_counterbalance,alien_counterbalance,set_counterbalance,tr_num,form_tr_num,block_tr_num,block,condition,teaching_block,name,target,sound1,sound2,sound3,correct_response
2,1,2,1,55,1,1,1,high,1,juss,L,juss,guss,vuss,0
2,1,2,1,56,2,2,1,low,1,sarl,R,farl,parl,sarl,2
2,1,2,1,57,3,3,1,high,2,pyzer,R,pyber,pyver,pyzer,2
2,1,2,1,58,4,4,1,low,2,foob,C,koob,foob,soob,1
2,1,2,1,59,5,5,1,high,1,koba,C,koga,koba,koza,1
2,1,2,1,60,6,6,1,low,2,modi,L,modi,mogi,movi,0
2,1,2,1,61,7,1,2,high,1,koba,R,koza,koga,koba,2
2,1,2,1,62,8,2,2,high,2,pyzer,L,pyzer,pyver,pyber,0
2,1,2,1,63,9,3,2,low,1,sarl,L,sarl,parl,farl,0
2,1,2,1,64,10,4,2,low,2,foob,R,soob,koob,foob,2
2,1,2,1,65,11,5,2,high,1,juss,C,vuss,juss,guss,1
2,1,2,1,66,12,6,2,low,2,modi,C,movi,modi,mogi,1
1,1,2,2,55,1,1,1,low,2,chev,R,chel,chez,chev,2
1,1,2,2,56,2,2,1,high,1,darg,L,darg,marg,barg,0
1,1,2,2,57,3,3,1,low,1,gazzer,L,gazzer,gavver,gammer,0
1,1,2,2,58,4,4,1,high,2,hibe,C,hine,hibe,hige,1
1,1,2,2,59,5,5,1,low,1,kulp,C,tulp,kulp,fulp,1
1,1,2,2,60,6,6,1,high,2,wilp,R,rilp,gilp,wilp,2
1,1,2,2,61,7,1,2,high,2,hibe,L,hibe,hige,hine,0
1,1,2,2,62,8,2,2,high,1,darg,R,barg,marg,darg,2
1,1,2,2,63,9,3,2,low,2,chev,C,chez,chev,chel,1
1,1,2,2,64,10,4,2,low,1,kulp,L,kulp,fulp,tulp,0
1,1,2,2,65,11,5,2,high,2,wilp,C,gilp,wilp,rilp,1
1,1,2,2,66,12,6,2,low,1,gazzer,R,gammer,gavver,gazzer,2
