week,order_counterbalance,alien_counterbalance,set_counterbalance,block,condition,tr_type,tr_num,block_tr_num,audio,alien,tr_dur
2,1,2,1,1,hi,study,1,1,juss,E1,8600
2,1,2,1,1,hi,retrieve,2,2,juss,E1,3000
2,1,2,1,1,hi,study,3,3,juss,E1,8600
2,1,2,1,1,low,study,4,4,sarl,C31,8600
2,1,2,1,1,low,retrieve,5,5,sarl,C31,3000
2,1,2,1,1,low,study,6,6,sarl,C31,8600
2,1,2,1,1,hi,study,7,7,koba,G3,8600
2,1,2,1,1,hi,retrieve,8,8,koba,G3,3000
2,1,2,1,1,hi,study,9,9,koba,G3,8600
2,1,2,1,1,hi,retrieve,10,10,juss,E1,3000
2,1,2,1,1,hi,study,11,11,juss,E1,8600
2,1,2,1,1,low,retrieve,12,12,sarl,C31,3000
2,1,2,1,1,low,study,13,13,sarl,C31,8600
2,1,2,1,1,hi,retrieve,14,14,koba,G3,3000
2,1,2,1,1,hi,study,15,15,koba,G3,8600
2,1,2,1,1,hi,retrieve,16,16,juss,E1,3000
2,1,2,1,1,hi,study,17,17,juss,E1,8600
2,1,2,1,1,low,retrieve,18,18,sarl,C31,3000
2,1,2,1,1,low,study,19,19,sarl,C31,8600
2,1,2,1,1,hi,retrieve,20,20,koba,G3,3000
2,1,2,1,1,hi,study,21,21,koba,G3,8600
2,1,2,1,2,low,study,22,1,foob,J3,8600
2,1,2,1,2,low,retrieve,23,2,foob,J3,3000
2,1,2,1,2,low,study,24,3,foob,J3,8600
2,1,2,1,2,hi,study,25,4,pyzer,A3,8600
2,1,2,1,2,hi,retrieve,26,5,pyzer,A3,3000
2,1,2,1,2,hi,study,27,6,pyzer,A3,8600
2,1,2,1,2,low,study,28,7,modi,A33,8600
2,1,2,1,2,low,retrieve,29,8,modi,A33,3000
2,1,2,1,2,low,study,30,9,modi,A33,8600
2,1,2,1,2,low,retrieve,31,10,foob,J3,3000
2,1,2,1,2,low,study,32,11,foob,J3,8600
2,1,2,1,2,hi,retrieve,33,12,pyzer,A3,3000
2,1,2,1,2,hi,study,34,13,pyzer,A3,8600
2,1,2,1,2,low,retrieve,35,14,modi,A33,3000
2,1,2,1,2,low,study,36,15,modi,A33,8600
2,1,2,1,2,low,retrieve,37,16,foob,J3,3000
2,1,2,1,2,low,study,38,17,foob,J3,8600
2,1,2,1,2,hi,retrieve,39,18,pyzer,A3,3000
2,1,2,1,2,hi,study,40,19,pyzer,A3,8600
2,1,2,1,2,low,retrieve,41,20,modi,A33,3000
2,1,2,1,2,low,study,42,21,modi,A33,8600
1,1,2,2,1,low,study,1,1,gazzer,I1,8600
1,1,2,2,1,low,retrieve,2,2,gazzer,I1,3000
1,1,2,2,1,low,study,3,3,gazzer,I1,8600
1,1,2,2,1,hi,study,4,4,darg,A1,8600
1,1,2,2,1,hi,retrieve,5,5,darg,A1,3000
1,1,2,2,1,hi,study,6,6,darg,A1,8600
1,1,2,2,1,low,study,7,7,kulp,B2,8600
1,1,2,2,1,low,retrieve,8,8,kulp,B2,3000
1,1,2,2,1,low,study,9,9,kulp,B2,8600
1,1,2,2,1,low,retrieve,10,10,gazzer,I1,3000
1,1,2,2,1,low,study,11,11,gazzer,I1,8600
1,1,2,2,1,hi,retrieve,12,12,darg,A1,3000
1,1,2,2,1,hi,study,13,13,darg,A1,8600
1,1,2,2,1,low,retrieve,14,14,kulp,B2,3000
1,1,2,2,1,low,study,15,15,kulp,B2,8600
1,1,2,2,1,low,retrieve,16,16,gazzer,I1,3000
1,1,2,2,1,low,study,17,17,gazzer,I1,8600
1,1,2,2,1,hi,retrieve,18,18,darg,A1,3000
1,1,2,2,1,hi,study,19,19,darg,A1,8600
1,1,2,2,1,low,retrieve,20,20,kulp,B2,3000
1,1,2,2,1,low,study,21,21,kulp,B2,8600
1,1,2,2,2,hi,study,22,1,hibe,J2,8600
1,1,2,2,2,hi,retrieve,23,2,hibe,J2,3000
1,1,2,2,2,hi,study,24,3,hibe,J2,8600
1,1,2,2,2,low,study,25,4,chev,E3,8600
1,1,2,2,2,low,retrieve,26,5,chev,E3,3000
1,1,2,2,2,low,study,27,6,chev,E3,8600
1,1,2,2,2,hi,study,28,7,wilp,B23,8600
1,1,2,2,2,hi,retrieve,29,8,wilp,B23,3000
1,1,2,2,2,hi,study,30,9,wilp,B23,8600
1,1,2,2,2,hi,retrieve,31,10,hibe,J2,3000
1,1,2,2,2,hi,study,32,11,hibe,J2,8600
1,1,2,2,2,low,retrieve,33,12,chev,E3,3000
1,1,2,2,2,low,study,34,13,chev,E3,8600
1,1,2,2,2,hi,retrieve,35,14,wilp,B23,3000
1,1,2,2,2,hi,study,36,15,wilp,B23,8600
1,1,2,2,2,hi,retrieve,37,16,hibe,J2,3000
1,1,2,2,2,hi,study,38,17,hibe,J2,8600
1,1,2,2,2,low,retrieve,39,18,chev,E3,3000
1,1,2,2,2,low,study,40,19,chev,E3,8600
1,1,2,2,2,hi,retrieve,41,20,wilp,B23,3000
1,1,2,2,2,hi,study,42,21,wilp,B23,8600
